column_name,descriptions
application_id,  A unique identifier of the project record in the  ExPORTER database. 
activity,"A 3-character code identifying the grant, contract, or  intramural activity through which a project is supported. Within each  funding mechanism , NIH  uses 3-character activity codes (e.g., F32, K08, P01, R01, T32, etc.) to  differentiate the wide variety of research-related programs NIH supports. A  comprehensive  list of activity codes  for grants and cooperative agreements may be found  on the  Types of Grant  Programs  Web page. RePORTER also includes R&D contracts (activity  codes beginning with the letter N) and intramural projects (beginning with the  letter Z)."
                                  administering_ic  ,"Administering Institute or Center - A two-character  code to designate the agency,NIH Institute, or Center administering the  grant. See  Institute/Center code  definitions"
application_type,"A one-digit code to identify the type of  application funded: 1 = New application                              2 = Competing continuation (also, competing renewal)                              3 = Application for additional (supplemental) support.  There are two kinds of type   3competing revisions (which are peer-reviewed and administrative supplements)                              4 = Competing extension for an R37 award or first  non-competing year of a Fast Track SBIR/STTR award                              5 = Non-competing continuation                              7 = Change of grantee institution                              9 = Change of NIH awarding Institute or Division (on a  competing continuation)"
arra_funded,  “Y”  indicates a project supported by funds appropriated through the American  Recovery and Reinvestment Act of 2009. 
award_notice_date  ,"Award notice date or Notice of Grant Award (NGA) is a legally binding document stating the government has obligated funds and which defines the period of support and the terms and conditions of award.
                                "
budget_start  ,The date when a  project’s funding for a particular fiscal year begins. 
                                  budget_end  ,The date when a  project’s funding for a particular fiscal year ends.
cfda_code  ,"Federal programs are assigned a number in the Catalog of Federal Domestic Assistance (CFDA), which is referred to as the ""CFDA code."" The CFDA database helps the Federal government track all programs it has domestically funded. 
  "
core_project_num  ,"An identifier for each research project, used to associate the project with publication and patent records.  This identifier is not specific to any particular year of the project.  It consists of the project activity code, administering IC, and serial number (a concatenation of Activity, Administering_IC, and Serial_Number).  
  "
ed_inst_type  ,"Generic name for the grouping of components across an institution who has applied for or receives NIH funding. The official name as used by NIH is Major Component Combining Name. 
                                "
foa_number  ,"The  number of the funding opportunity announcement, if any, under which the project  application was solicited. Funding opportunity announcements may be  categorized as program announcements, requests for applications, notices of  funding availability, solicitations, or other names depending on the agency and  type of program. Funding opportunity announcements can be found at  Grants.gov/FIND  and in the  NIH Guide for Grants and  Contracts"
full_project_num  ,"Commonly referred to as a grant number,  intramural project, or contract number.  For grants, this unique  identification number is composed of the type code, activity code, Institute/Center  code, serial number, support year, and (optional) a suffix code to designate  amended applications and supplements."
funding_ic(s)  ,"The NIH Institute  or Center(s) providing funding for a project are designated by their acronyms  (see  Institute/Center acronyms ).  Each funding IC is followed by a colon (:) and the amount of funding provided  for the fiscal year by that IC. Multiple ICs are separated by semicolons  (;). Project funding information is available only for NIH, CDC, and FDA projects ."
funding_mechanism   ,"The major  mechanism  categories used in NIH Budget mechanism tables for the President’s budget. Extramural research awards are divided into three main funding mechanisms: grants, cooperative agreements and contracts. A funding mechanism is the type of funded application or transaction used at the NIH. Within each funding mechanism NIH includes programs. Programs can be further refined by specific activity codes."
fy,  The fiscal year appropriation from which project funds were  obligated.
ic_name  ,"Full name of the administering agency, Institute, or  Center. "
